"","cov.35","cov.40","cov.45","cov.50","cov.55","cov.60","cov.65","cov.70","cov.75","cov.80","cov.85","cov.90","cov.95","pop.lev"
"AAD.male","10.7136910332608 [ 9.91128635182553 - 11.9850878071155 ]","10.7723076531242 [ 9.81720258897797 - 11.6924210269017 ]","10.7767033890103 [ 9.88662273385297 - 11.7857712807526 ]","10.7101683905288 [ 9.78097441260669 - 11.5762254470174 ]","10.7471493326465 [ 9.91634537167697 - 11.5127890562848 ]","10.7493561509077 [ 9.95089631773265 - 11.5770484249455 ]","10.7018157446013 [ 10.0449596827016 - 11.4132033769494 ]","10.8103827626013 [ 9.96743873935806 - 11.501964156404 ]","10.757413555868 [ 10.0559966198831 - 11.4516555930357 ]","10.6750942675637 [ 10.0336874007199 - 11.4194687227657 ]","10.6950939952006 [ 10.0519150737049 - 11.4229136644316 ]","10.7191242327986 [ 10.0683234838353 - 11.3678237670599 ]","10.6854852249182 [ 10.1187552554274 - 11.3425761601455 ]","11.7575342537374 [ 11.6084488296033 - 11.8965309215258 ]"
"SDAD.male","6.11459682398655 [ 5.6676719852138 - 6.61491175288715 ]","6.12986195999601 [ 5.76845627655436 - 6.60463386706929 ]","6.1608513413418 [ 5.76045383517445 - 6.59714328808332 ]","6.19918893302633 [ 5.79551678619769 - 6.56622749153185 ]","6.23189937594298 [ 5.85397155477733 - 6.57395679810657 ]","6.21697092858117 [ 5.82086786001762 - 6.58265900519301 ]","6.19509443305586 [ 5.86740205518577 - 6.52690033754403 ]","6.21868759134237 [ 5.92761529512569 - 6.52342340922768 ]","6.23366789038572 [ 5.93017605032523 - 6.55671082695822 ]","6.2684908458319 [ 5.95991864003848 - 6.53296841999501 ]","6.26223120658655 [ 5.99492629622801 - 6.50633328152475 ]","6.26836005509216 [ 5.98695031017117 - 6.53840382633553 ]","6.26342796373355 [ 6.00511627882041 - 6.5321564288894 ]","6.31657147641586 [ 6.2296269934469 - 6.40763957899992 ]"
"slope.male","0.219663468745668 [ 0.16970834090943 - 0.275863106952546 ]","0.218032104719087 [ 0.172772955277376 - 0.269737717560804 ]","0.221723603852306 [ 0.172656090496046 - 0.268094209871346 ]","0.224564467714121 [ 0.176275189975762 - 0.273894400586627 ]","0.221478280610106 [ 0.178843323704881 - 0.266622515196259 ]","0.222117543858899 [ 0.182490321794386 - 0.262050399665075 ]","0.223562316114694 [ 0.184230888244583 - 0.258334668091749 ]","0.222538865914675 [ 0.186881659426103 - 0.261101792736672 ]","0.220209518013134 [ 0.183360702754569 - 0.258992659490783 ]","0.219256429008754 [ 0.188044563217091 - 0.256845331628793 ]","0.222344506416824 [ 0.183007606760967 - 0.256249265549794 ]","0.220584920114784 [ 0.187483503469744 - 0.254739857688308 ]","0.221858642244161 [ 0.187118387721287 - 0.254212137782897 ]","0.283695864942443 [ 0.275024010685592 - 0.293038755940437 ]"
"WSD.male","1.64908194825789 [ 1.53289761647452 - 1.77062676136488 ]","1.66743637836923 [ 1.55304678421352 - 1.78150628148051 ]","1.67235597055881 [ 1.56292648648501 - 1.78036041113219 ]","1.67974307014581 [ 1.56028725469659 - 1.78120012647509 ]","1.68166806584204 [ 1.5802875059907 - 1.78504223830964 ]","1.68211535873248 [ 1.5838270064518 - 1.76687781646492 ]","1.68185551058917 [ 1.59522688350444 - 1.76329211787032 ]","1.6829762777331 [ 1.59769065378842 - 1.76968084242215 ]","1.6826117838571 [ 1.60360718742613 - 1.77148485896343 ]","1.68437191090247 [ 1.59807692563835 - 1.78042522899092 ]","1.682312191963 [ 1.60991048946341 - 1.76203626068112 ]","1.68912648115497 [ 1.60993626718721 - 1.76853040691188 ]","1.69064782551375 [ 1.60655506255708 - 1.76757194287773 ]","1.76243826140404 [ 1.73419280073414 - 1.79604942233555 ]"
"BSD.male","1.50567456441602 [ 1.17023366005063 - 1.84195649066887 ]","1.50323452412523 [ 1.24178763222031 - 1.82027102750049 ]","1.58041133374481 [ 1.24047965174511 - 1.82081172572437 ]","1.49990514945159 [ 1.25659865950523 - 1.78526909049918 ]","1.50031303831988 [ 1.23707419847026 - 1.76331342146525 ]","1.52348404853953 [ 1.29627767299198 - 1.73889893747054 ]","1.51611014758458 [ 1.28292521964003 - 1.73636797661906 ]","1.52460612414949 [ 1.31177728942885 - 1.77353079192599 ]","1.51521538389161 [ 1.31895298095351 - 1.7405350352876 ]","1.50884616233713 [ 1.30324752460213 - 1.73090752654229 ]","1.51230793768406 [ 1.31376476664439 - 1.72880385214726 ]","1.50921792478646 [ 1.32195966942185 - 1.72297729892838 ]","1.50948678950328 [ 1.33583861720011 - 1.7307511928713 ]","1.94143426643211 [ 1.89855768517395 - 1.99480453721455 ]"
"intercept.male","-0.873195780924489 [ -1.70972000937541 - -0.227902241164175 ]","-0.905550460410192 [ -1.55761050892048 - -0.344628171046196 ]","-0.949771598259159 [ -1.52760597571623 - -0.330123637414214 ]","-0.931831439867569 [ -1.67651369154338 - -0.412763195508061 ]","-0.955228779969698 [ -1.52153753441398 - -0.418664071026319 ]","-0.9428585817471 [ -1.4151296939443 - -0.376021473984784 ]","-0.972038651276826 [ -1.42699975215509 - -0.458170640257004 ]","-0.921820453705273 [ -1.42664392674812 - -0.467396142460833 ]","-0.931911241307094 [ -1.44131534370541 - -0.506022888215795 ]","-0.922526313000906 [ -1.40266332183509 - -0.4686746731556 ]","-0.941845456689991 [ -1.40151830725954 - -0.458467535467047 ]","-0.953670828932724 [ -1.40846561738823 - -0.489140265232146 ]","-0.975566473185021 [ -1.35542348706844 - -0.508209522441669 ]","-1.54157016881031 [ -1.68836160247643 - -1.42148370613851 ]"
